abdominal|abdomen
anal|anus
appendiceal|appendix
areolar|areola
arterial|artery
bronchial|bronchus
calvarial|skull
calvarium|skull
cardiac|heart
cerebellar|cerebellum
cerebral|cerebrum
cervical|neck
cheek|buccal
cholecystic|gallbladder
classical|classic
coccygeal|coccyx
colonic|colon
cranial|skull
cranium|skull
cutaneous|skin
duodenal|duodenum
facial|face
gastric|stomach
glandular|gland
glossal|tongue
glottic|glottis
hepatic|liver
hypothroat|hypopharyngeal
ileal|ileum
ilial|ilium
ischial|ischium
jejunal|jejunum
labial|lip
laryngeal|larynx
leukaemia|leukemic
leukemic|leukemia
lingual|tongue
meningeal|meninges
muscular|muscle
nasal|nose
nasothroat|nasopharyngeal
neoplastic|neoplasm
ocular|eye
omental|omentum
orbit|orbital
oropharyngeal|oropharynx
orothroat|oropharynx
ovarian|ovary
palatal|palate
pancreatic|pancreas
patellar|kneecap
patella|kneecap
pelvic|pelvis
penile|penis
pericardial|pericardium
peritoneum|peritoneal
pharyngeal|pharynx
pleural|pleura
prostatic|prostate
pubic|pubis
pulmonary|lung
relapse|remission
renal|kidney
retroperitoneum|retroperitoneal
sacral|sacrum
spinal|spine
splenic|spleen
sternal|sternum
subtongue|sublingual
thoracic|chest
thorax|chest
thymic|thymus
tissues|tissue
tracheal|trachea
tumoral|neoplasm
tumor|neoplasm
ureteral|ureter
urethral|urethra
vaginal|vagina
vertebral|vertebra
vulvar|vulva
